FEATURE_ID,GEO_CODE,GEO_CODE_CLEAN,ADMIN_LEVEL,LEVEL_STANDARD,LEVEL_ORDER,location_name,PARENT_GEO_CODE,PARENT_LOCATION_NAME,CHILD_COUNT,HAS_CHILDREN,ADMIN_PATH,CENSUS_DATA_AVAILABLE,CENSUS_TABLE_COUNT,CENSUS_COVERAGE_PCT,SDG_DATA_AVAILABLE,SDG_INDICATOR_COUNT,NAME_MATCH_STATUS,CENSUS_LOCATION_NAME,DIVISION_CODE,DIVISION_NAME,DISTRICT_CODE,DISTRICT_NAME,CITY_CODE,CITY_NAME,UPAZILA_CODE,UPAZILA_NAME,MUNICIPALITY_CODE,MUNICIPALITY_NAME,UNION_CODE,UNION_NAME,MAUZA_CODE,CENTROID_LAT,CENTROID_LON,MAUZA_NAME,VILLAGE_CODE,VILLAGE_NAME,RMO_CODE,location_id,source_row_number,level,district,city_corporation,upazila_thana,paurashava,union_ward,mauza,village_mahalla,household_except_floating_household_total_c_01,general_c_01,institutional_c_01,others_c_01,population_including_floating_population_total_c_01,male_c_01,female_c_01,hijra_c_01,sex_ratio_c_01,total_c_02,age_group_in_years_0_4_c_02,5_9_c_02,10_14_c_02,15_19_c_02,20_24_c_02,25_29_c_02,30_34_c_02,35_39_c_02,40_44_c_02,45_49_c_02,50_54_c_02,55_59_c_02,60_64_c_02,65_69_c_02,70_74_c_02,75_79_c_02,80_c_02,total_c_03,muslim_c_03,hindu_c_03,christian_c_03,buddhist_c_03,others_c_03,male_population_number_c_04,total_c_04,never_married_c_04,currently_married_c_04,widowed_widower_c_04,divorced_c_04,separated_c_04,female_population_number_c_04,total_1_c_04,never_married_1_c_04,currently_married_1_c_04,widowed_widower_1_c_04,divorced_1_c_04,separated_1_c_04,5_years_and_above_total_c_05,male_c_05,female_c_05,7_years_and_above_total_c_05,male_1_c_05,female_1_c_05,15_years_and_above_total_c_05,male_2_c_05,female_2_c_05,population_number_c_06,field_of_education_total_c_06,general_c_06,technical_c_06,religious_c_06,others_c_06,highest_level_of_education_attained_total_c_06,attended_school_but_not_completed_play_nursery_kg_pre_primary_class_i_c_06,play_nursery_kg_pre_primary_student_c_06,student_class_i_c_06,class_i_v_c_06,class_vi_ix_c_06,ssc_dakhil_o_level_equivalent_c_06,hsc_alim_a_level_equivalent_c_06,diploma_nursing_midwifery_c_06,graduate_and_above_c_06,non_formal_informal_education_and_others_c_06,total_male_c_07,female_c_07,5_9_years_male_c_07,female_1_c_07,10_14_years_male_c_07,female_2_c_07,15_19_years_male_c_07,female_3_c_07,20_24_years_male_c_07,female_4_c_07,25_29_years_male_c_07,female_5_c_07,population_total_c_08,male_c_08,female_c_08,employed_total_c_08,male_1_c_08,female_1_c_08,household_work_total_c_08,male_2_c_08,female_2_c_08,looking_for_work_total_c_08,male_3_c_08,female_3_c_08,do_not_work_total_c_08,male_4_c_08,female_4_c_08,total_c_09,male_c_09,female_c_09,agriculture_total_c_09,male_1_c_09,female_1_c_09,industry_total_c_09,male_2_c_09,female_2_c_09,service_total_c_09,male_3_c_09,female_3_c_09,total_c_10,15_19_years_c_10,20_24_years_c_10,male_total_c_10,15_19_years_1_c_10,20_24_years_1_c_10,female_total_c_10,15_19_years_2_c_10,20_24_years_2_c_10,population_having_mobile_phone_for_own_use_5_years_and_above_total_c_11_,male_c_11_,female_c_11_,15_years_and_above_total_c_11_,male_1_c_11_,female_1_c_11_,internet_user_5_years_and_above_total_c_11_,male_2_c_11_,female_2_c_11_,15_years_and_above_total_1_c_11_,male_3_c_11_,female_3_c_11_,having_account_in_financial_institution_bank_insurance_micro_credit_post_office_etc_total_c_12,male_c_12,female_c_12,having_mobile_banking_account_total_c_12,male_1_c_12,female_1_c_12,ethnic_population_total_c_13,male_c_13,female_c_13,ethnic_population_in_major_groups_garo_c_13,chakma_c_13,marma_c_13,others_c_13,general_household_c_14,type_of_structure_total_c_14,pucca_c_14,semi_pucca_c_14,kancha_c_14,jhupri_c_14,ownership_status_total_c_14,own_dwelling_unit_c_14,rented_but_having_own_dwelling_unit_elsewhere_c_14,rented_and_having_no_own_dwelling_unit_elsewhere_c_14,rent_free_but_having_own_dwelling_unit_elsewhere_c_14,rent_free_and_having_no_own_dwelling_unit_elsewhere_c_14,general_household_c_15,source_of_drinking_water_total_c_15,tap_pipe_supply_c_15,tube_well_deep_shallow_c_15,bottled_jar_water_c_15,well_c_15,pond_river_canal_lake_c_15,spring_c_15,rain_water_c_15,others_c_15,general_household_c_16,toilet_facilities_total_c_16,safe_disposal_with_flushing_pouring_water_c_16,unsafe_disposal_with_flushing_pouring_water_c_16,pit_latrine_with_slab_ventilated_improved_latrine_composting_latrine_c_16,pit_latrine_without_slab_open_pit_c_16,raw_open_hanging_latrine_permanent_temporary_c_16,open_defecation_no_latrine_available_c_16,general_household_c_17,source_of_cooking_fuel_total_c_17,straw_leaf_bran_husk_c_17,wood_chalk_chopped_wood_c_17,wood_coal_charcoal_dried_dung_c_17,kerosene_paraffin_c_17,petrol_diesel_c_17,electricity_c_17,supply_gas_c_17,lp_gas_c_17,biogas_c_17,others_c_17,electricity_coverage_c_17,general_household_c_18,household_comprising_1_person_c_18,2_person_c_18,3_person_c_18,4_person_c_18,5_person_c_18,6_person_c_18,7_person_c_18,8_person_c_18,9_person_c_18,10_person_c_18,10_person_1_c_18,average_household_size_c_18,code_15,code_18,LOCATION_NAME_CLEAN,LOCATION_KEY,sdg_4_2_2_learning_total,sdg_4_2_2_learning_male,sdg_4_2_2_learning_female,sdg_5_b_1_mobile_total,sdg_5_b_1_mobile_male,sdg_5_b_1_mobile_female,sdg_6_2_1a_basic_sanitation,sdg_6_2_1b_handwashing,sdg_7_1_1_electricity,sdg_7_1_2_clean_fuel,sdg_8_6_1_neet_total,sdg_8_6_1_neet_male,sdg_8_6_1_neet_female,sdg_8_10_2_financial_inclusion_total,sdg_8_10_2_financial_inclusion_male,sdg_8_10_2_financial_inclusion_female,sdg_11_1_1_urban_slum_total,sdg_11_1_1_urban_slum_male,sdg_11_1_1_urban_slum_female,sdg_17_8_1_internet_total,sdg_17_8_1_internet_male,sdg_17_8_1_internet_female,IS_LEAF
DH22_2464,30260038007110821281,30260038007110821281,village,village,7,Gourisinga,3026003800711082,Bara Shikaritola,0,0,3026/30260038/3026003800711/3026003800711082/30260038007110821281,1,17,94.44,0,0,MATCH,Gourisinga,30,Dhaka,26,Dhaka,00, ,38,Keraniganj,00, ,711,Shakta,082,23.71654049652479,90.34750932327313,Bara Shikaritola,128,Gourisinga,1,30260038007110821281,,,,,,,,,,298.0,297.0,0.0,1.0,1055.0,546.0,509.0,0.0,107.27,1055.0,71.0,65.0,106.0,115.0,109.0,92.0,85.0,99.0,67.0,52.0,73.0,23.0,36.0,20.0,18.0,8.0,16.0,1055.0,464.0,591.0,0.0,0.0,0.0,478.0,100.0,38.49,60.04,0.84,0.0,0.63,441.0,100.0,23.58,67.12,7.48,0.0,1.81,78.76,81.84,75.42,79.96,83.1,76.54,77.37,80.91,73.6,984.0,857.0,794.0,1.0,7.0,55.0,857.0,6.0,23.0,7.0,274.0,281.0,122.0,60.0,0.0,31.0,53.0,124.0,111.0,26.0,22.0,50.0,42.0,34.0,35.0,11.0,10.0,3.0,2.0,984.0,512.0,472.0,365.0,319.0,46.0,244.0,4.0,240.0,4.0,4.0,0.0,371.0,185.0,186.0,365.0,319.0,46.0,47.0,12.0,35.0,32.0,31.0,1.0,286.0,276.0,10.0,34.38,19.13,50.46,14.15,7.14,22.0,52.54,30.51,74.58,50.81,60.35,40.47,61.25,73.51,48.22,36.38,41.8,30.51,42.44,49.4,35.03,15.5,20.76,9.9,15.13,21.96,7.87,,,,,,,,297.0,100.0,48.82,13.13,31.99,6.06,100.0,75.08,14.81,9.09,1.01,0.0,297.0,100.0,26.94,73.06,0.0,0.0,0.0,0.0,0.0,0.0,297.0,100.0,60.94,19.87,15.15,3.7,0.34,0.0,297.0,100.0,6.4,19.87,16.84,0.0,0.0,0.34,31.31,25.25,0.0,0.0,100.0,297.0,15.0,59.0,73.0,90.0,38.0,13.0,6.0,0.0,1.0,1.0,1.0,3.55,,,Gourisinga,30260038007110821281,,,,,,,,,,,,,,,,,,,,,,,1
DH22_2465,30260038007110823681,30260038007110823681,village,village,7,Shikaritola,3026003800711082,Bara Shikaritola,0,0,3026/30260038/3026003800711/3026003800711082/30260038007110823681,1,17,94.44,0,0,MATCH,Shikaritola,30,Dhaka,26,Dhaka,00, ,38,Keraniganj,00, ,711,Shakta,082,23.718695130283596,90.34766660123323,Bara Shikaritola,368,Shikaritola,1,30260038007110823681,,,,,,,,,,404.0,400.0,0.0,4.0,1550.0,810.0,740.0,0.0,109.46,1550.0,108.0,139.0,146.0,143.0,163.0,145.0,124.0,132.0,113.0,77.0,74.0,54.0,55.0,36.0,23.0,8.0,10.0,1550.0,703.0,846.0,1.0,0.0,0.0,683.0,100.0,34.26,63.4,1.46,0.15,0.73,620.0,100.0,19.84,69.68,5.0,0.0,5.48,73.58,75.23,71.76,74.71,76.5,72.74,71.56,73.85,69.03,1442.0,1088.0,1076.0,0.0,11.0,1.0,1088.0,53.0,42.0,17.0,396.0,327.0,132.0,85.0,0.0,34.0,2.0,153.0,137.0,47.0,50.0,51.0,60.0,37.0,16.0,15.0,9.0,3.0,2.0,1442.0,755.0,687.0,606.0,488.0,118.0,320.0,3.0,317.0,21.0,20.0,1.0,495.0,244.0,251.0,606.0,488.0,118.0,92.0,29.0,63.0,69.0,66.0,3.0,445.0,393.0,52.0,42.48,41.96,42.94,12.67,20.0,4.29,71.15,69.84,72.04,49.1,58.28,39.01,60.24,71.05,48.27,21.57,26.49,16.16,25.24,31.41,18.4,8.21,10.2,6.01,12.19,19.08,4.55,,,,,,,,400.0,100.0,42.25,16.25,34.0,7.5,100.0,57.75,12.75,12.75,0.25,16.5,400.0,100.0,26.75,72.75,0.5,0.0,0.0,0.0,0.0,0.0,400.0,100.0,51.75,36.5,8.75,1.75,1.0,0.25,400.0,100.0,4.25,12.75,9.5,0.0,0.0,0.0,68.25,5.0,0.0,0.25,99.0,400.0,15.0,52.0,103.0,116.0,67.0,34.0,8.0,2.0,1.0,1.0,1.0,3.84,,,Shikaritola,30260038007110823681,,,,,,,,,,,,,,,,,,,,,,,1
DH22_0754,3026003800711092,3026003800711092,mauza,mauza,6,Bharalia,3026003800711,Shakta,3,1,3026/30260038/3026003800711/3026003800711092,1,17,94.44,0,0,CODE_MATCH_NAME_VARIANT,Bharalia*,30,Dhaka,26,Dhaka,00, ,38,Keraniganj,00, ,711,Shakta,092,23.714616998721592,90.35195068570096,Bharalia,,,,3557,3563.0,mauza,26.0,,38.0,,711.0,92.0,,2014.0,1987.0,0.0,27.0,8103.0,4139.0,3964.0,0.0,104.41,8103.0,734.0,714.0,767.0,787.0,815.0,796.0,646.0,691.0,541.0,384.0,336.0,263.0,290.0,131.0,121.0,36.0,51.0,8103.0,7993.0,109.0,0.0,1.0,0.0,3376.0,100.0,33.59,65.14,1.01,0.12,0.15,3279.0,100.0,21.53,69.96,7.69,0.27,0.55,79.86,81.59,78.08,80.57,82.35,78.73,78.18,80.39,75.89,7369.0,6167.0,5731.0,9.0,248.0,179.0,6167.0,131.0,153.0,85.0,2041.0,2052.0,828.0,523.0,9.0,159.0,186.0,788.0,795.0,262.0,248.0,288.0,310.0,151.0,174.0,71.0,47.0,16.0,16.0,7369.0,3747.0,3622.0,2993.0,2504.0,489.0,1807.0,12.0,1795.0,21.0,16.0,5.0,2548.0,1215.0,1333.0,2993.0,2504.0,489.0,413.0,101.0,312.0,345.0,331.0,14.0,2235.0,2072.0,163.0,41.07,36.09,45.89,15.19,20.65,9.84,63.52,49.64,76.77,60.56,68.75,52.1,74.63,84.5,64.42,38.35,45.8,30.65,46.4,55.66,36.82,15.35,21.52,8.98,18.7,28.6,8.46,,,,,,,,1987.0,100.0,72.07,17.92,9.81,0.2,100.0,60.64,31.0,7.95,0.35,0.05,1987.0,100.0,47.36,52.59,0.05,0.0,0.0,0.0,0.0,0.0,1987.0,100.0,85.41,9.36,4.98,0.2,0.05,0.0,1987.0,100.0,2.47,8.45,1.31,0.0,0.05,0.0,44.79,42.17,0.2,0.55,99.8,1987.0,65.0,258.0,431.0,619.0,342.0,144.0,67.0,22.0,21.0,3.0,15.0,4.02,,,Bharalia,3026003800711092,,,,,,,,,,,,,,,,,,,,,,,0
DH22_2466,30260038007110922081,30260038007110922081,village,village,7,Kholamura,3026003800711092,Bharalia,0,0,3026/30260038/3026003800711/3026003800711092/30260038007110922081,1,17,94.44,0,0,MATCH,Kholamura,30,Dhaka,26,Dhaka,00, ,38,Keraniganj,00, ,711,Shakta,092,23.713902903808,90.35549546309002,Bharalia,208,Kholamura,1,30260038007110922081,,,,,,,,,,401.0,389.0,0.0,12.0,1543.0,792.0,751.0,0.0,105.46,1543.0,133.0,143.0,148.0,169.0,136.0,148.0,148.0,145.0,100.0,72.0,58.0,39.0,54.0,18.0,19.0,5.0,8.0,1543.0,1504.0,39.0,0.0,0.0,0.0,649.0,100.0,34.82,63.79,1.23,0.0,0.15,618.0,100.0,22.98,69.26,6.31,0.32,1.13,81.63,82.06,81.19,82.1,82.69,81.49,79.18,80.17,78.11,1410.0,1237.0,1039.0,4.0,85.0,109.0,1237.0,65.0,26.0,14.0,427.0,453.0,124.0,73.0,2.0,32.0,21.0,143.0,158.0,54.0,51.0,49.0,64.0,31.0,34.0,8.0,6.0,1.0,3.0,1410.0,719.0,691.0,630.0,507.0,123.0,249.0,0.0,249.0,13.0,9.0,4.0,518.0,203.0,315.0,630.0,507.0,123.0,93.0,17.0,76.0,49.0,42.0,7.0,488.0,448.0,40.0,39.34,33.73,46.32,13.1,16.67,8.2,63.13,50.59,77.33,61.21,71.49,50.51,75.96,87.07,64.01,43.9,50.49,37.05,49.96,57.59,41.74,8.58,13.1,3.71,14.66,22.59,6.12,,,,,,,,389.0,100.0,79.18,12.6,7.71,0.51,100.0,31.62,62.72,5.4,0.26,0.0,389.0,100.0,50.9,49.1,0.0,0.0,0.0,0.0,0.0,0.0,389.0,100.0,83.8,12.08,3.6,0.51,0.0,0.0,389.0,100.0,6.43,4.88,2.83,0.0,0.0,0.0,46.53,39.33,0.0,0.0,99.74,389.0,11.0,49.0,104.0,134.0,57.0,17.0,7.0,5.0,3.0,0.0,2.0,3.82,,,Kholamura,30260038007110922081,,,,,,,,,,,,,,,,,,,,,,,1
DH22_2467,30260038007110922681,30260038007110922681,village,village,7,Natun Bharalia,3026003800711092,Bharalia,0,0,3026/30260038/3026003800711/3026003800711092/30260038007110922681,1,17,94.44,0,0,MATCH,Natun Bharalia,30,Dhaka,26,Dhaka,00, ,38,Keraniganj,00, ,711,Shakta,092,23.713503182107193,90.35086571091308,Bharalia,268,Natun Bharalia,1,30260038007110922681,,,,,,,,,,389.0,387.0,0.0,2.0,1586.0,811.0,775.0,0.0,104.65,1586.0,138.0,141.0,152.0,144.0,167.0,163.0,109.0,116.0,109.0,83.0,62.0,66.0,66.0,26.0,22.0,9.0,13.0,1586.0,1551.0,34.0,0.0,1.0,0.0,653.0,100.0,32.16,65.85,1.38,0.31,0.31,654.0,100.0,20.8,70.18,7.49,0.61,0.92,77.07,80.0,74.09,78.22,81.08,75.32,75.24,78.26,72.24,1448.0,1126.0,1088.0,3.0,35.0,0.0,1126.0,13.0,27.0,17.0,375.0,392.0,170.0,98.0,1.0,25.0,8.0,173.0,163.0,59.0,46.0,64.0,65.0,27.0,36.0,21.0,12.0,2.0,4.0,1448.0,730.0,718.0,561.0,474.0,87.0,385.0,3.0,382.0,1.0,0.0,1.0,501.0,253.0,248.0,561.0,474.0,87.0,88.0,21.0,67.0,60.0,59.0,1.0,413.0,394.0,19.0,39.23,35.42,42.51,13.99,23.08,6.41,60.71,45.57,74.16,58.43,67.26,49.44,72.38,84.17,60.69,36.6,46.44,26.6,45.02,57.74,32.41,14.11,22.43,5.86,11.86,19.65,4.14,,,,,,,,387.0,100.0,66.15,17.31,16.54,0.0,100.0,62.27,22.22,15.5,0.0,0.0,387.0,100.0,49.87,50.13,0.0,0.0,0.0,0.0,0.0,0.0,387.0,100.0,81.14,10.59,8.01,0.0,0.26,0.0,387.0,100.0,3.1,8.79,3.1,0.0,0.0,0.0,50.9,34.11,0.0,0.0,100.0,387.0,10.0,47.0,75.0,122.0,79.0,35.0,9.0,4.0,2.0,1.0,3.0,4.09,,,Natun Bharalia,30260038007110922681,,,,,,,,,,,,,,,,,,,,,,,1
DH22_2468,30260038007110923081,30260038007110923081,village,village,7,Puran Bharalia,3026003800711092,Bharalia,0,0,3026/30260038/3026003800711/3026003800711092/30260038007110923081,1,17,94.44,0,0,MATCH,Puran Bharalia,30,Dhaka,26,Dhaka,00, ,38,Keraniganj,00, ,711,Shakta,092,23.715511650345746,90.35158489315377,Bharalia,308,Puran Bharalia,1,30260038007110923081,,,,,,,,,,1224.0,1211.0,0.0,13.0,4974.0,2536.0,2438.0,0.0,104.02,4974.0,463.0,430.0,467.0,474.0,512.0,485.0,389.0,430.0,332.0,229.0,216.0,158.0,170.0,87.0,80.0,22.0,30.0,4974.0,4938.0,36.0,0.0,0.0,0.0,2074.0,100.0,33.65,65.33,0.82,0.1,0.1,2007.0,100.0,21.33,70.1,8.17,0.15,0.25,80.2,81.94,78.4,80.83,82.65,78.96,78.8,81.12,76.41,4511.0,3804.0,3604.0,2.0,128.0,70.0,3804.0,53.0,100.0,54.0,1239.0,1207.0,534.0,352.0,6.0,102.0,157.0,472.0,474.0,149.0,151.0,175.0,181.0,93.0,104.0,42.0,29.0,13.0,9.0,4511.0,2298.0,2213.0,1802.0,1523.0,279.0,1173.0,9.0,1164.0,7.0,7.0,0.0,1529.0,759.0,770.0,1802.0,1523.0,279.0,232.0,63.0,169.0,236.0,230.0,6.0,1334.0,1230.0,104.0,42.19,37.13,46.88,16.23,21.46,11.39,64.53,50.59,77.45,61.05,68.36,53.46,74.93,83.79,65.77,37.18,44.13,29.96,45.74,54.41,36.77,17.85,23.88,11.6,22.14,33.3,10.59,,,,,,,,1211.0,100.0,71.68,19.82,8.34,0.17,100.0,69.45,23.62,6.36,0.5,0.08,1211.0,100.0,45.42,54.5,0.08,0.0,0.0,0.0,0.0,0.0,1211.0,100.0,87.28,8.09,4.46,0.17,0.0,0.0,1211.0,100.0,0.99,9.5,0.25,0.0,0.08,0.0,42.28,45.66,0.33,0.91,99.75,1211.0,44.0,162.0,252.0,363.0,206.0,92.0,51.0,13.0,16.0,2.0,10.0,4.06,,,Puran Bharalia,30260038007110923081,,,,,,,,,,,,,,,,,,,,,,,1
DH22_0755,3026003800711094,3026003800711094,mauza,mauza,6,Birtail,3026003800711,Shakta,2,1,3026/30260038/3026003800711/3026003800711094,1,17,94.44,0,0,CODE_MATCH_NAME_VARIANT,Birtail*,30,Dhaka,26,Dhaka,00, ,38,Keraniganj,00, ,711,Shakta,094,23.701730350133385,90.31898830164079,Birtail,,,,3561,3567.0,mauza,26.0,,38.0,,711.0,94.0,,155.0,147.0,0.0,8.0,620.0,305.0,315.0,0.0,96.83,620.0,38.0,56.0,63.0,57.0,64.0,47.0,48.0,53.0,45.0,34.0,34.0,20.0,17.0,19.0,14.0,5.0,6.0,620.0,620.0,0.0,0.0,0.0,0.0,256.0,100.0,30.86,67.58,1.17,0.0,0.39,270.0,100.0,26.67,64.81,8.15,0.0,0.37,82.3,83.51,81.1,83.63,85.56,81.75,82.07,84.72,79.49,582.0,548.0,480.0,3.0,3.0,62.0,548.0,26.0,9.0,4.0,129.0,176.0,101.0,33.0,0.0,15.0,55.0,72.0,80.0,24.0,17.0,26.0,32.0,16.0,24.0,5.0,6.0,1.0,1.0,582.0,291.0,291.0,188.0,162.0,26.0,169.0,19.0,150.0,3.0,3.0,0.0,222.0,107.0,115.0,188.0,162.0,26.0,21.0,6.0,15.0,79.0,72.0,7.0,88.0,84.0,4.0,38.02,15.79,57.81,16.0,8.0,24.0,53.52,21.88,79.49,66.49,69.76,63.23,82.07,87.77,76.5,42.1,45.36,38.83,51.4,55.9,47.01,31.75,35.81,27.78,26.78,39.74,14.1,,,,,,,,147.0,100.0,57.14,10.88,31.97,0.0,100.0,89.12,10.88,0.0,0.0,0.0,147.0,100.0,22.45,77.55,0.0,0.0,0.0,0.0,0.0,0.0,147.0,100.0,82.31,8.16,8.84,0.0,0.0,0.68,147.0,100.0,2.04,7.48,0.0,0.0,0.0,0.68,34.69,53.74,0.0,1.36,100.0,147.0,4.0,32.0,22.0,43.0,27.0,9.0,3.0,0.0,3.0,1.0,3.0,4.01,,,Birtail,3026003800711094,,,,,,,,,,,,,,,,,,,,,,,0
DH22_2469,30260038007110940281,30260038007110940281,village,village,7,Balarampur,3026003800711094,Birtail,0,0,3026/30260038/3026003800711/3026003800711094/30260038007110940281,1,17,94.44,0,0,MATCH,Balarampur,30,Dhaka,26,Dhaka,00, ,38,Keraniganj,00, ,711,Shakta,094,23.70221217554579,90.31931002550294,Birtail,028,Balarampur,1,30260038007110940281,,,,,,,,,,70.0,69.0,0.0,1.0,274.0,138.0,136.0,0.0,101.47,274.0,19.0,28.0,23.0,24.0,27.0,28.0,28.0,23.0,24.0,13.0,10.0,4.0,5.0,8.0,7.0,3.0,0.0,274.0,274.0,0.0,0.0,0.0,0.0,115.0,100.0,26.96,70.43,1.74,0.0,0.87,112.0,100.0,19.64,71.43,8.93,0.0,0.0,90.2,92.42,87.8,92.53,95.9,89.08,91.67,96.08,87.25,255.0,231.0,225.0,1.0,2.0,3.0,231.0,5.0,6.0,2.0,70.0,72.0,52.0,16.0,0.0,4.0,4.0,32.0,30.0,12.0,10.0,12.0,9.0,7.0,9.0,1.0,2.0,0.0,0.0,255.0,132.0,123.0,94.0,86.0,8.0,82.0,1.0,81.0,0.0,0.0,0.0,79.0,45.0,34.0,94.0,86.0,8.0,4.0,0.0,4.0,10.0,10.0,0.0,80.0,76.0,4.0,43.14,20.83,62.96,0.0,0.0,0.0,64.71,35.71,85.0,65.1,69.7,60.16,79.41,88.24,70.59,45.49,48.48,42.28,53.92,58.82,49.02,16.18,21.57,10.78,16.67,22.55,10.78,,,,,,,,69.0,100.0,62.32,13.04,24.64,0.0,100.0,78.26,21.74,0.0,0.0,0.0,69.0,100.0,47.83,52.17,0.0,0.0,0.0,0.0,0.0,0.0,69.0,100.0,89.86,7.25,1.45,0.0,0.0,1.45,69.0,100.0,1.45,15.94,0.0,0.0,0.0,0.0,36.23,46.38,0.0,0.0,100.0,69.0,3.0,17.0,9.0,20.0,13.0,2.0,1.0,0.0,1.0,1.0,2.0,3.91,,,Balarampur,30260038007110940281,,,,,,,,,,,,,,,,,,,,,,,1
DH22_2470,30260038007110940361,30260038007110940361,village,village,7,Birtail,3026003800711094,Birtail,0,0,3026/30260038/3026003800711/3026003800711094/30260038007110940361,1,17,94.44,0,0,MATCH,Birtail,30,Dhaka,26,Dhaka,00, ,38,Keraniganj,00, ,711,Shakta,094,23.700949776516826,90.31846709800114,Birtail,036,Birtail,1,30260038007110940361,,,,,,,,,,85.0,78.0,0.0,7.0,346.0,167.0,179.0,0.0,93.3,346.0,19.0,28.0,40.0,33.0,37.0,19.0,20.0,30.0,21.0,21.0,24.0,16.0,12.0,11.0,7.0,2.0,6.0,346.0,346.0,0.0,0.0,0.0,0.0,141.0,100.0,34.04,65.25,0.71,0.0,0.0,158.0,100.0,31.65,60.13,7.59,0.0,0.63,76.15,76.1,76.19,76.95,77.42,76.51,74.52,75.59,73.48,327.0,317.0,255.0,2.0,1.0,59.0,317.0,21.0,3.0,2.0,59.0,104.0,49.0,17.0,0.0,11.0,51.0,40.0,50.0,12.0,7.0,14.0,23.0,9.0,15.0,4.0,4.0,1.0,1.0,327.0,159.0,168.0,94.0,76.0,18.0,87.0,18.0,69.0,3.0,3.0,0.0,143.0,62.0,81.0,94.0,76.0,18.0,17.0,6.0,11.0,69.0,62.0,7.0,8.0,8.0,0.0,34.29,12.12,54.05,24.24,13.33,33.33,43.24,11.11,73.68,67.58,69.81,65.48,84.17,87.4,81.06,39.45,42.77,36.31,49.42,53.54,45.45,44.02,47.24,40.91,34.75,53.54,16.67,,,,,,,,78.0,100.0,52.56,8.97,38.46,0.0,100.0,98.72,1.28,0.0,0.0,0.0,78.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,100.0,75.64,8.97,15.38,0.0,0.0,0.0,78.0,100.0,2.56,0.0,0.0,0.0,0.0,1.28,33.33,60.26,0.0,2.56,100.0,78.0,1.0,15.0,13.0,23.0,14.0,7.0,2.0,0.0,2.0,0.0,1.0,4.09,,,Birtail,30260038007110940361,,,,,,,,,,,,,,,,,,,,,,,1
DH22_0756,3026003800711426,3026003800711426,mauza,mauza,6,Kakalia,3026003800711,Shakta,2,1,3026/30260038/3026003800711/3026003800711426,1,17,94.44,0,0,CODE_MATCH_NAME_VARIANT,Kakalia*,30,Dhaka,26,Dhaka,00, ,38,Keraniganj,00, ,711,Shakta,426,23.6909989864245,90.3229226254835,Kakalia,,,,3564,3570.0,mauza,26.0,,38.0,,711.0,426.0,,243.0,243.0,0.0,0.0,859.0,414.0,445.0,0.0,93.03,859.0,61.0,67.0,72.0,94.0,83.0,76.0,60.0,75.0,50.0,38.0,48.0,42.0,39.0,19.0,19.0,10.0,6.0,859.0,700.0,159.0,0.0,0.0,0.0,352.0,100.0,35.23,63.07,1.42,0.0,0.28,379.0,100.0,22.69,66.23,9.5,0.53,1.06,65.66,67.01,64.39,66.54,68.01,65.14,62.37,63.95,60.88,798.0,594.0,574.0,2.0,4.0,14.0,594.0,13.0,15.0,10.0,130.0,230.0,128.0,43.0,1.0,12.0,12.0,89.0,100.0,30.0,24.0,30.0,38.0,19.0,33.0,8.0,5.0,2.0,0.0,798.0,388.0,410.0,271.0,242.0,29.0,258.0,4.0,254.0,4.0,4.0,0.0,265.0,138.0,127.0,271.0,242.0,29.0,57.0,31.0,26.0,108.0,106.0,2.0,106.0,105.0,1.0,38.98,32.98,45.78,15.79,17.65,14.29,56.44,41.67,78.05,67.04,75.77,58.78,80.12,90.91,70.0,39.35,44.85,34.15,46.89,53.92,40.29,21.85,33.54,10.88,30.8,43.89,18.53,,,,,,,,243.0,100.0,46.09,5.35,48.15,0.41,100.0,85.19,12.35,1.65,0.41,0.41,243.0,100.0,14.81,85.19,0.0,0.0,0.0,0.0,0.0,0.0,243.0,100.0,54.32,13.17,32.51,0.0,0.0,0.0,243.0,100.0,1.23,18.93,31.69,0.0,0.0,0.0,5.35,42.8,0.0,0.0,100.0,243.0,4.0,47.0,71.0,78.0,31.0,9.0,1.0,1.0,0.0,0.0,1.0,3.53,,,Kakalia,3026003800711426,,,,,,,,,,,,,,,,,,,,,,,0
